numeroFissazioni,startTime,duration,position_x,position_y,position_z
1,1.010618,0.040073000000000025,0.43145953682396826,0.4784716004595788,312.9395952387714
2,1.100758,0.03007700000000013,0.4322510200276725,0.4780670878519894,358.3827180364575
3,1.160883,0.0400729999999998,0.4251880604530894,0.5016617880653687,342.96923943595897
4,1.301121,0.03007700000000013,0.4131893384675434,0.5021823698406818,271.55826556834836
5,1.361246,0.07007800000000008,0.41264909149102214,0.5034560421278527,275.7287655215842
6,1.631688,0.030086000000000057,0.47231200159981773,0.5499256853178669,490.09760749346646
7,1.731924,0.04007099999999997,0.4799485869376602,0.5362395031271902,436.81483655323694
8,1.982353,0.050058999999999854,0.5041284943712732,0.5144639032214224,372.2947209353601
9,2.212793,0.040071999999999885,0.5422678405305127,0.6071303275998374,500.13287246975233
10,2.272847,0.07015899999999986,0.5443526593240972,0.5956394231566231,630.3259691738157
11,2.383078,0.040073000000000025,0.5443538685754243,0.5999439252111322,641.7316365421825
12,9.566041,0.11023199999999989,0.294412291743976,0.6165256764344772,466.17354370638805
13,10.137124,0.15022300000000044,0.3038595783703117,0.29720996399604366,182.05932399091984
14,10.317434,0.09013099999999952,0.3336548641711188,0.2489179493030899,184.136820935235
15,16.458512,0.0701590000000003,0.60142600225596,0.4362981548163861,536.9162396452158
16,16.548723,0.02002000000000237,0.6009429908169842,0.42250271913570925,520.698278765021
17,16.648888,0.020053000000000765,0.6013811935432758,0.443705397827674,494.42519648006555
18,16.929396,0.06012499999999932,0.6045266793815904,0.38537119198733805,343.55810979192626
19,17.07969,0.17028600000000083,0.5853087128788498,0.36579945474792086,944.8739632668857
20,17.270029,0.08014400000000066,0.5758431874820489,0.36618860167587813,1568.691695968535
21,17.370194,0.020051999999999737,0.6067141268047919,0.40106599437307816,878.3755986941492
22,17.440343,0.09014100000000269,0.576651117732552,0.36391736813384185,1306.3796704203091
23,17.550536,0.06009199999999737,0.6011119839947643,0.3854940504538977,461.85964516570704
24,17.630681,0.13024199999999908,0.5966776331366129,0.3697250462528036,613.0732361524185
25,17.810991,0.04007199999999855,0.5995355830354835,0.3731612230905567,651.4971280802879
26,17.971281,0.09013099999999952,0.6133600768520715,0.4071973143045758,458.2101171023329
27,18.532296,0.07015000000000171,0.5955511127643782,0.4346922256374399,535.8737745439403
28,18.622427,0.020091000000000747,0.5969367069324601,0.4234800270784829,554.1487872864726
29,18.712638,0.08014600000000272,0.6047466235747011,0.41554463753705473,489.20005330687314
30,18.953073,0.10016600000000153,0.5651545920123373,0.3659833851750975,820.5714891035791
31,19.093311,0.16028999999999982,0.6037671441470817,0.3870428662069075,384.1898359223711
32,19.273653,0.020020999999999844,0.6095922033914335,0.39884043693956533,599.5848865199998
33,19.313726,0.06009300000000195,0.5954818746930942,0.38162476900361536,932.5494825907339
34,19.494036,0.08014499999999813,0.6164730497930624,0.4075955427283946,468.21731463310437
35,19.64433,0.030048999999998216,0.6046219844846206,0.41043478600497046,451.7180774907762
36,19.824602,0.02008999999999972,0.5673979138832236,0.7271545439975944,677.0298891418988
37,19.864674,0.020091999999998222,0.5672947691901413,0.7350419620484792,530.4160487819329
38,19.914814,0.11015000000000086,0.5787317549707217,0.7009071709107169,573.0748984848814
39,20.045055,0.19033899999999804,0.5778594781639342,0.6898774071387628,591.4520493108417
40,20.255413,0.1302039999999991,0.5747310015634793,0.699920912612559,543.3579082527457
41,20.405708,0.530939,0.5706216193527163,0.709202157462769,483.39905718502104
42,20.956698,0.6711659999999995,0.5750269408972409,0.7006457842491528,496.18727147925443
43,21.647955,0.17028600000000083,0.5683482658622993,0.6914457654204346,492.7177344884474
44,21.838293,0.2003629999999994,0.5761042006742662,0.7052413970002898,538.8131778415759
45,22.058676,0.330566000000001,0.568224220416482,0.6967640831347799,574.6027801438407
46,22.409333,0.6511560000000003,0.5413069928233973,0.6847272104546305,691.2888922267124
47,23.130638,0.4307729999999985,0.4324546353980575,0.6615142677653565,488.1093400947401
48,23.63149,0.02008999999999972,0.3848432261462479,0.4249871320652348,332.40408384871006
49,23.791779,0.040073000000003134,0.40404968242527084,0.48029276619626843,341.9100805834869
50,23.871925,0.0601629999999993,0.39383756003613474,0.4073317787699623,334.9655293247937
51,32.287149,0.10023699999999991,0.45254154950284364,0.577029285648657,649.913004664217
52,32.407367,0.04007299999999958,0.4460476690824421,0.5590367123015412,540.5052127437249
53,32.587748,0.03004800000000074,0.43501113490884147,0.5609044022237194,343.4145152386284
54,32.76802,0.020090000000003272,0.4395919070506153,0.5691424380687864,391.67788834183705
55,35.282601,0.020051999999999737,0.427179960164643,0.6243340964966455,319.2042744552173
56,35.402819,0.06012499999999932,0.4408196438389232,0.5792333800168726,593.3890522825078
57,35.482964,0.030075999999993996,0.43196153904988643,0.5974478764405665,278.6022122493239
58,35.533022,0.1403089999999949,0.4426959707071733,0.5979261337341174,482.4381561673188
59,35.693312,0.11023200000000344,0.4326259493501065,0.5897919528929615,430.3387051023735
60,35.893675,0.040071999999995,0.5050698639425083,0.6142812399805246,417.0450622951486
61,35.99391,0.16029000000000337,0.509508256880338,0.6230915036248278,528.4764804864895
62,36.204269,0.05005800000000704,0.4556422391035734,0.6234684345730404,453.2220032159528
63,36.304466,0.050097000000000946,0.455098802907125,0.6141142211358189,369.57972689898725
64,36.374544,0.10023699999999991,0.43515047314540994,0.6130859665872749,428.6555837961328
65,36.504829,0.28050700000000006,0.4348641064909559,0.6007238204254827,360.8838876635911
66,36.865481,0.0300060000000002,0.4257707852460328,0.5966784620334327,259.0900054438184
